word,annotation
field,ROOM
fill,O
filling,O
fine,O
fingertip,PROD
fixture,PROD
flair,O
flash,O
flow,O
fluid,O
fogo,PROD
fold,O
footboard,PROD
foundation,O
founder,PERS
fox,PROD
framing,O
freight,O
functional,O
fusion,O
gel,MAT
geometric,O
geometry,O
ginger,PROD
glide,O
globe,PROD
glove,PROD
government,O
grandeur,O
gray,MAT
greenery,PROD
guardsman,PROD
guide,O
half,O
han,PERS
hanger,PROD
hardwood,MAT
harsh,O
hat,PROD
health,O
hedge,PROD
heirloom,PROD
henry,PERS
herringbone,PROD
hill,ROOM
hold,O
hong,ROOM
horn,MAT
hospitality,O
household,ROOM
hundred,O
icon,PROD
importer,PERS
incentive,O
individual,PERS
indoor,ROOM
indoors,ROOM
industry,O
injection,O
inner,O
inspire,O
installation,O
investigation,O
investment,O
inviting,O
jar,PROD
jasmine,PROD
joy,O
junction,ROOM
justo,PERS
kaiser,PERS
kea,PROD
keep,O
koko,PROD
kolo,PROD
label,O
lace,PROD
land,ROOM
landmark,ROOM
lane,ROOM
laura,PERS
layer,O
layout,ROOM
lazy,O
leader,PERS
let,O
level,O
lift,O
lighting,PROD
lightweight,O
ligula,O
limit,O
linear,O
lipa,PROD
loom,PROD
loop,O
machine,PROD
maintenance,O
maker,PERS
mark,O
marker,PROD
marvel,O
mason,PERS
master,O
masterpiece,O
mat,PROD
match,O
matching,O
matte,MAT
meal,ROOM
measure,O
mechanism,O
medium,O
meeting,ROOM
memo,O
menu,PROD
merge,O
metalwork,PROD
meter,O
microwave,PROD
min,O
minimalism,O
ministry,O
mint,MAT
mission,O
mix,O
mobility,O
mon,PROD
monte,ROOM
mood,O
morning,ROOM
morris,PERS
moss,MAT
motion,O
motor,PROD
mount,PROD
mountain,ROOM
movie,ROOM
mustard,MAT
napkin,PROD
native,ROOM
nature,ROOM
neat,O
newness,O
news,O
nook,ROOM
note,O
noteworthy,O
occasion,ROOM
opening,O
orange,MAT
origin,O
original,O
ornament,PROD
outdoor,ROOM
outer,O
package,O
pagina,PROD
palette,O
parturient,O
past,O
pedestal,PROD
perch,PROD
perfect,O
performance,O
period,O
permanence,O
person,PERS
peter,PERS
pick,O
pickup,PROD
picture,PROD
pillow,PROD
piston,PROD
pit,ROOM
plane,PROD
plank,PROD
planner,PROD
plantation,ROOM
plastic,MAT
plate,PROD
plume,PROD
point,O
polish,O
pollution,O
poly,MAT
pop,O
position,O
pot,PROD
potato,PROD
pound,O
power,O
practicality,O
preference,O
premium,O
present,O
prestige,O
primavera,PROD
print,O
problem,O
promotion,O
proof,O
protector,PROD
punch,O
purchaser,PERS
question,O
radiate,O
rail,PROD
rainbow,MAT
ray,PROD
read,O
recommendation,O
rectangular,O
redwood,MAT
regulate,O
regulation,O
relationship,O
relax,O
remark,O
request,O
resource,O
response,O
restaurant,ROOM
restoration,O
restore,O
result,O
return,O
reward,O
rhinestone,PROD
ridge,PROD
right,O
riley,PERS
rimu,MAT
road,ROOM
roll,PROD
royal,O
safety,O
salesman,PERS
sample,PROD
saraf,PERS
satin,MAT
saucer,PROD
sauna,ROOM
saving,O
sawyer,PERS
scale,O
scarf,PROD
scenic,ROOM
scheme,O
scot,PERS
scrollwork,PROD
search,O
seater,PROD
section,PROD
secure,O
see,O
select,O
self,O
sequence,O
series,O
sheepskin,MAT
sheet,PROD
shell,PROD
shelter,ROOM
shoe,PROD
silhouette,PROD
silver,MAT
sit,O
site,O
skirt,PROD
sliver,PROD
slope,O
soho,PROD
solid,O
someday,O
son,PROD
sophia,PERS
sophistication,O
sort,O
south,ROOM
special,O
specialist,PERS
spencer,PERS
sphere,PROD
spike,PROD
sponsorship,O
spread,O
spring,ROOM
staff,O
stain,PROD
standard,O
star,PROD
start,O
state,O
stealth,O
stone,PROD
string,PROD
strip,PROD
structure,O
strut,PROD
stuff,O
stunning,O
sun,PROD
super,O
supplier,PERS
supreme,O
surprise,O
tall,O
tallboy,PROD
tan,MAT
tandem,PROD
tanner,PERS
technique,O
television,PROD
temperature,O
terrazzo,MAT
thank,O
theme,O
theory,O
thing,O
thinner,O
tier,PROD
timberwood,MAT
town,ROOM
toy,PROD
track,PROD
trade,O
trading,O
traffic,ROOM
transaction,O
transfer,O
transform,O
transformation,O
transport,O
treacle,PROD
tree,PROD
trial,O
trim,O
trinket,PROD
trouble,O
tule,PROD
turnaround,O
underneath,O
understand,O
unit,PROD
upholstery,PROD
valley,ROOM
value,O
vantage,O
vaunt,O
velocity,O
veranda,ROOM
version,O
viaduct,PROD
vibrant,O
viscosity,O
walker,PERS
wallpaper,PROD
walter,PERS
warehouse,ROOM
waterfall,ROOM
wax,PROD
weaver,PERS
well,O
wellington,ROOM
west,ROOM
wheel,PROD
whirlpool,ROOM
wholesaler,PERS
will,O
wipe,PROD
wooden,MAT
woodwork,PROD
workplace,ROOM
worth,O
wrought,PROD
yesterday,O
york,ROOM
